Year,Commodity,Value_A$m,TradeType
2023,"03 Fish (excl. marine mammals) crustaceans, molluscs and aquatic invertebrates, and preparations thereof (excl. extracts and juices of fish, crustaceans, molluscs or other aquatic invertebrates, prepared or preserved of SITC 01710) ;",1346,Exports
2024,"03 Fish (excl. marine mammals) crustaceans, molluscs and aquatic invertebrates, and preparations thereof (excl. extracts and juices of fish, crustaceans, molluscs or other aquatic invertebrates, prepared or preserved of SITC 01710) ;",1227,Exports
2014,04 Cereals and cereal preparations ;,8975,Exports
2015,04 Cereals and cereal preparations ;,9339,Exports
2016,04 Cereals and cereal preparations ;,7580,Exports
2017,04 Cereals and cereal preparations ;,9336,Exports
2018,04 Cereals and cereal preparations ;,7326,Exports
2019,04 Cereals and cereal preparations ;,5891,Exports
2020,04 Cereals and cereal preparations ;,6440,Exports
2021,04 Cereals and cereal preparations ;,14105,Exports
2022,04 Cereals and cereal preparations ;,20672,Exports
2023,04 Cereals and cereal preparations ;,20628,Exports
2024,04 Cereals and cereal preparations ;,13754,Exports
2014,05 Vegetables and fruit ;,2363,Exports
2015,05 Vegetables and fruit ;,3894,Exports
2016,05 Vegetables and fruit ;,4153,Exports
2017,05 Vegetables and fruit ;,5099,Exports
2018,05 Vegetables and fruit ;,3567,Exports
2019,05 Vegetables and fruit ;,4112,Exports
2020,05 Vegetables and fruit ;,4127,Exports
2021,05 Vegetables and fruit ;,4512,Exports
2022,05 Vegetables and fruit ;,5027,Exports
2023,05 Vegetables and fruit ;,5891,Exports
2024,05 Vegetables and fruit ;,7127,Exports
2014,"06 Sugars, sugar preparations and honey ;",244,Exports
2015,"06 Sugars, sugar preparations and honey ;",281,Exports
2016,"06 Sugars, sugar preparations and honey ;",319,Exports
2017,"06 Sugars, sugar preparations and honey ;",330,Exports
2018,"06 Sugars, sugar preparations and honey ;",300,Exports
2019,"06 Sugars, sugar preparations and honey ;",268,Exports
2020,"06 Sugars, sugar preparations and honey ;",283,Exports
2021,"06 Sugars, sugar preparations and honey ;",318,Exports
2022,"06 Sugars, sugar preparations and honey ;",321,Exports
2023,"06 Sugars, sugar preparations and honey ;",297,Exports
2024,"06 Sugars, sugar preparations and honey ;",299,Exports
2014,"07 Coffee, tea, cocoa, spices, and manufactures thereof ;",296,Exports
2015,"07 Coffee, tea, cocoa, spices, and manufactures thereof ;",328,Exports
2016,"07 Coffee, tea, cocoa, spices, and manufactures thereof ;",363,Exports
2017,"07 Coffee, tea, cocoa, spices, and manufactures thereof ;",369,Exports
2018,"07 Coffee, tea, cocoa, spices, and manufactures thereof ;",393,Exports
2019,"07 Coffee, tea, cocoa, spices, and manufactures thereof ;",425,Exports
2020,"07 Coffee, tea, cocoa, spices, and manufactures thereof ;",447,Exports
2021,"07 Coffee, tea, cocoa, spices, and manufactures thereof ;",476,Exports
2022,"07 Coffee, tea, cocoa, spices, and manufactures thereof ;",517,Exports
2023,"07 Coffee, tea, cocoa, spices, and manufactures thereof ;",509,Exports
2024,"07 Coffee, tea, cocoa, spices, and manufactures thereof ;",549,Exports
2014,08 Feeding stuff for animals (excl. unmilled cereals) ;,1162,Exports
2015,08 Feeding stuff for animals (excl. unmilled cereals) ;,1208,Exports
2016,08 Feeding stuff for animals (excl. unmilled cereals) ;,1174,Exports
2017,08 Feeding stuff for animals (excl. unmilled cereals) ;,1230,Exports
2018,08 Feeding stuff for animals (excl. unmilled cereals) ;,1359,Exports
2019,08 Feeding stuff for animals (excl. unmilled cereals) ;,1374,Exports
2020,08 Feeding stuff for animals (excl. unmilled cereals) ;,1310,Exports
2021,08 Feeding stuff for animals (excl. unmilled cereals) ;,1424,Exports
2022,08 Feeding stuff for animals (excl. unmilled cereals) ;,1719,Exports
2023,08 Feeding stuff for animals (excl. unmilled cereals) ;,1737,Exports
2024,08 Feeding stuff for animals (excl. unmilled cereals) ;,1578,Exports
2014,09 Miscellaneous edible products and preparations ;,1105,Exports
2015,09 Miscellaneous edible products and preparations ;,1779,Exports
2016,09 Miscellaneous edible products and preparations ;,2478,Exports
2017,09 Miscellaneous edible products and preparations ;,3011,Exports
2018,09 Miscellaneous edible products and preparations ;,2946,Exports
2019,09 Miscellaneous edible products and preparations ;,2977,Exports
2020,09 Miscellaneous edible products and preparations ;,2591,Exports
2021,09 Miscellaneous edible products and preparations ;,2105,Exports
2022,09 Miscellaneous edible products and preparations ;,2160,Exports
2023,09 Miscellaneous edible products and preparations ;,2314,Exports
2024,09 Miscellaneous edible products and preparations ;,2257,Exports
2014,1 Beverages and tobacco ;,2151,Exports
2015,1 Beverages and tobacco ;,2522,Exports
2016,1 Beverages and tobacco ;,2679,Exports
2017,1 Beverages and tobacco ;,3031,Exports
2018,1 Beverages and tobacco ;,3377,Exports
2019,1 Beverages and tobacco ;,3582,Exports
2020,1 Beverages and tobacco ;,3283,Exports
2021,1 Beverages and tobacco ;,2523,Exports
2022,1 Beverages and tobacco ;,2572,Exports
2023,1 Beverages and tobacco ;,2548,Exports
2024,1 Beverages and tobacco ;,3187,Exports
2014,11 Beverages ;,2086,Exports
2015,11 Beverages ;,2455,Exports
2016,11 Beverages ;,2610,Exports
2017,11 Beverages ;,2962,Exports
2018,11 Beverages ;,3318,Exports
2019,11 Beverages ;,3523,Exports
2020,11 Beverages ;,3246,Exports
2021,11 Beverages ;,2503,Exports
2022,11 Beverages ;,2553,Exports
2023,11 Beverages ;,2524,Exports
2024,11 Beverages ;,3167,Exports
2014,12 Tobacco and tobacco manufactures ;,64,Exports
2015,12 Tobacco and tobacco manufactures ;,66,Exports
2016,12 Tobacco and tobacco manufactures ;,68,Exports
2017,12 Tobacco and tobacco manufactures ;,67,Exports
2018,12 Tobacco and tobacco manufactures ;,59,Exports
2019,12 Tobacco and tobacco manufactures ;,59,Exports
2020,12 Tobacco and tobacco manufactures ;,37,Exports
2021,12 Tobacco and tobacco manufactures ;,21,Exports
2022,12 Tobacco and tobacco manufactures ;,19,Exports
2023,12 Tobacco and tobacco manufactures ;,24,Exports
2024,12 Tobacco and tobacco manufactures ;,20,Exports
2014,"2 Crude materials, inedible, except fuels ;",97436,Exports
2015,"2 Crude materials, inedible, except fuels ;",81539,Exports
2016,"2 Crude materials, inedible, except fuels ;",83621,Exports
2017,"2 Crude materials, inedible, except fuels ;",99473,Exports
2018,"2 Crude materials, inedible, except fuels ;",106879,Exports
2019,"2 Crude materials, inedible, except fuels ;",136415,Exports
2020,"2 Crude materials, inedible, except fuels ;",151968,Exports
2021,"2 Crude materials, inedible, except fuels ;",198179,Exports
2022,"2 Crude materials, inedible, except fuels ;",188296,Exports
2023,"2 Crude materials, inedible, except fuels ;",202961,Exports
2024,"2 Crude materials, inedible, except fuels ;",179557,Exports
2014,"21 Hides, skins and furskins, raw ;",1027,Exports
2015,"21 Hides, skins and furskins, raw ;",1023,Exports
2016,"21 Hides, skins and furskins, raw ;",827,Exports
2017,"21 Hides, skins and furskins, raw ;",808,Exports
2018,"21 Hides, skins and furskins, raw ;",731,Exports
2019,"21 Hides, skins and furskins, raw ;",579,Exports
2020,"21 Hides, skins and furskins, raw ;",414,Exports
2021,"21 Hides, skins and furskins, raw ;",504,Exports
2022,"21 Hides, skins and furskins, raw ;",454,Exports
2023,"21 Hides, skins and furskins, raw ;",451,Exports
2024,"21 Hides, skins and furskins, raw ;",534,Exports
2014,22 Oil-seeds and oleaginous fruits ;,1627,Exports
2015,22 Oil-seeds and oleaginous fruits ;,1606,Exports
2016,22 Oil-seeds and oleaginous fruits ;,1415,Exports
2017,22 Oil-seeds and oleaginous fruits ;,1906,Exports
2018,22 Oil-seeds and oleaginous fruits ;,1398,Exports
2019,22 Oil-seeds and oleaginous fruits ;,1051,Exports
2020,22 Oil-seeds and oleaginous fruits ;,1183,Exports
2021,22 Oil-seeds and oleaginous fruits ;,3166,Exports
2022,22 Oil-seeds and oleaginous fruits ;,7762,Exports
2023,22 Oil-seeds and oleaginous fruits ;,5508,Exports
2024,22 Oil-seeds and oleaginous fruits ;,5001,Exports
2014,23 Crude rubber (incl. synthetic and reclaimed) ;,14,Exports
2015,23 Crude rubber (incl. synthetic and reclaimed) ;,11,Exports
2016,23 Crude rubber (incl. synthetic and reclaimed) ;,7,Exports
2017,23 Crude rubber (incl. synthetic and reclaimed) ;,0,Exports
2018,23 Crude rubber (incl. synthetic and reclaimed) ;,15,Exports
2019,23 Crude rubber (incl. synthetic and reclaimed) ;,20,Exports
2020,23 Crude rubber (incl. synthetic and reclaimed) ;,10,Exports
2021,23 Crude rubber (incl. synthetic and reclaimed) ;,11,Exports
2022,23 Crude rubber (incl. synthetic and reclaimed) ;,9,Exports
2023,23 Crude rubber (incl. synthetic and reclaimed) ;,14,Exports
2024,23 Crude rubber (incl. synthetic and reclaimed) ;,20,Exports
2014,24 Cork and wood ;,1260,Exports
2015,24 Cork and wood ;,1553,Exports
2016,24 Cork and wood ;,1769,Exports
2017,24 Cork and wood ;,1975,Exports
2018,24 Cork and wood ;,2218,Exports
2019,24 Cork and wood ;,2225,Exports
2020,24 Cork and wood ;,1669,Exports
2021,24 Cork and wood ;,1338,Exports
2022,24 Cork and wood ;,1523,Exports
2023,24 Cork and wood ;,1435,Exports
2024,24 Cork and wood ;,1435,Exports
2014,25 Pulp and waste paper ;,235,Exports
2015,25 Pulp and waste paper ;,254,Exports
2016,25 Pulp and waste paper ;,242,Exports
2017,25 Pulp and waste paper ;,277,Exports
2018,25 Pulp and waste paper ;,238,Exports
2019,25 Pulp and waste paper ;,183,Exports
2020,25 Pulp and waste paper ;,172,Exports
2021,25 Pulp and waste paper ;,266,Exports
2022,25 Pulp and waste paper ;,307,Exports
2023,25 Pulp and waste paper ;,203,Exports
2024,25 Pulp and waste paper ;,243,Exports
2014,"26 Textile fibres (excl. wool tops and other combed wool) and their wastes, not manufactured into yarn or fabric ;",4500,Exports
2015,"26 Textile fibres (excl. wool tops and other combed wool) and their wastes, not manufactured into yarn or fabric ;",4071,Exports
2016,"26 Textile fibres (excl. wool tops and other combed wool) and their wastes, not manufactured into yarn or fabric ;",4722,Exports
2017,"26 Textile fibres (excl. wool tops and other combed wool) and their wastes, not manufactured into yarn or fabric ;",5852,Exports
2018,"26 Textile fibres (excl. wool tops and other combed wool) and their wastes, not manufactured into yarn or fabric ;",6474,Exports
2019,"26 Textile fibres (excl. wool tops and other combed wool) and their wastes, not manufactured into yarn or fabric ;",4844,Exports
2020,"26 Textile fibres (excl. wool tops and other combed wool) and their wastes, not manufactured into yarn or fabric ;",2739,Exports
2021,"26 Textile fibres (excl. wool tops and other combed wool) and their wastes, not manufactured into yarn or fabric ;",5081,Exports
2022,"26 Textile fibres (excl. wool tops and other combed wool) and their wastes, not manufactured into yarn or fabric ;",7710,Exports
2023,"26 Textile fibres (excl. wool tops and other combed wool) and their wastes, not manufactured into yarn or fabric ;",7407,Exports
2024,"26 Textile fibres (excl. wool tops and other combed wool) and their wastes, not manufactured into yarn or fabric ;",6501,Exports
2014,"27 Crude fertilizers (excl. those of Division 56) and crude minerals (excl. coal, petroleum and precious stones) ;",437,Exports
2015,"27 Crude fertilizers (excl. those of Division 56) and crude minerals (excl. coal, petroleum and precious stones) ;",594,Exports
2016,"27 Crude fertilizers (excl. those of Division 56) and crude minerals (excl. coal, petroleum and precious stones) ;",665,Exports
2017,"27 Crude fertilizers (excl. those of Division 56) and crude minerals (excl. coal, petroleum and precious stones) ;",1575,Exports
2018,"27 Crude fertilizers (excl. those of Division 56) and crude minerals (excl. coal, petroleum and precious stones) ;",2110,Exports
2019,"27 Crude fertilizers (excl. those of Division 56) and crude minerals (excl. coal, petroleum and precious stones) ;",1717,Exports
2020,"27 Crude fertilizers (excl. those of Division 56) and crude minerals (excl. coal, petroleum and precious stones) ;",1163,Exports
2021,"27 Crude fertilizers (excl. those of Division 56) and crude minerals (excl. coal, petroleum and precious stones) ;",1948,Exports
2022,"27 Crude fertilizers (excl. those of Division 56) and crude minerals (excl. coal, petroleum and precious stones) ;",12384,Exports
2023,"27 Crude fertilizers (excl. those of Division 56) and crude minerals (excl. coal, petroleum and precious stones) ;",19055,Exports
2024,"27 Crude fertilizers (excl. those of Division 56) and crude minerals (excl. coal, petroleum and precious stones) ;",5157,Exports
2014,28 Metalliferous ores and metal scrap ;,88010,Exports
2015,28 Metalliferous ores and metal scrap ;,71950,Exports
2016,28 Metalliferous ores and metal scrap ;,73494,Exports
2017,28 Metalliferous ores and metal scrap ;,86583,Exports
2018,28 Metalliferous ores and metal scrap ;,93112,Exports
2019,28 Metalliferous ores and metal scrap ;,125211,Exports
2020,28 Metalliferous ores and metal scrap ;,144068,Exports
2021,28 Metalliferous ores and metal scrap ;,185259,Exports
2022,28 Metalliferous ores and metal scrap ;,157451,Exports
2023,28 Metalliferous ores and metal scrap ;,168243,Exports
2024,28 Metalliferous ores and metal scrap ;,160031,Exports
2014,"29 Crude animal and vegetable materials, nes ;",327,Exports
2015,"29 Crude animal and vegetable materials, nes ;",481,Exports
2016,"29 Crude animal and vegetable materials, nes ;",476,Exports
2017,"29 Crude animal and vegetable materials, nes ;",496,Exports
2018,"29 Crude animal and vegetable materials, nes ;",584,Exports
2019,"29 Crude animal and vegetable materials, nes ;",584,Exports
2020,"29 Crude animal and vegetable materials, nes ;",551,Exports
2021,"29 Crude animal and vegetable materials, nes ;",613,Exports
2022,"29 Crude animal and vegetable materials, nes ;",692,Exports
2023,"29 Crude animal and vegetable materials, nes ;",650,Exports
2024,"29 Crude animal and vegetable materials, nes ;",637,Exports
2014,"3 Mineral fuels, lubricants and related materials ;",70511,Exports
2015,"3 Mineral fuels, lubricants and related materials ;",62248,Exports
2016,"3 Mineral fuels, lubricants and related materials ;",67702,Exports
2017,"3 Mineral fuels, lubricants and related materials ;",91149,Exports
2018,"3 Mineral fuels, lubricants and related materials ;",122269,Exports
2019,"3 Mineral fuels, lubricants and related materials ;",126288,Exports
2020,"3 Mineral fuels, lubricants and related materials ;",88821,Exports
2021,"3 Mineral fuels, lubricants and related materials ;",126395,Exports
2022,"3 Mineral fuels, lubricants and related materials ;",251334,Exports
2023,"3 Mineral fuels, lubricants and related materials ;",195549,Exports
2024,"3 Mineral fuels, lubricants and related materials ;",171431,Exports
2014,"32 Coal, coke and briquettes ;",38193,Exports
2015,"32 Coal, coke and briquettes ;",37110,Exports
2016,"32 Coal, coke and briquettes ;",42273,Exports
2017,"32 Coal, coke and briquettes ;",57133,Exports
2018,"32 Coal, coke and briquettes ;",66848,Exports
2019,"32 Coal, coke and briquettes ;",63941,Exports
2020,"32 Coal, coke and briquettes ;",43367,Exports
2021,"32 Coal, coke and briquettes ;",63504,Exports
2022,"32 Coal, coke and briquettes ;",142345,Exports
2023,"32 Coal, coke and briquettes ;",103331,Exports
2024,"32 Coal, coke and briquettes ;",85981,Exports
2014,"33 Petroleum, petroleum products and related materials ;",13401,Exports
2015,"33 Petroleum, petroleum products and related materials ;",8085,Exports
2016,"33 Petroleum, petroleum products and related materials ;",6946,Exports
2017,"33 Petroleum, petroleum products and related materials ;",7662,Exports
2018,"33 Petroleum, petroleum products and related materials ;",11191,Exports
2019,"33 Petroleum, petroleum products and related materials ;",12224,Exports
2020,"33 Petroleum, petroleum products and related materials ;",7755,Exports
2021,"33 Petroleum, petroleum products and related materials ;",11715,Exports
2022,"33 Petroleum, petroleum products and related materials ;",17341,Exports
2023,"33 Petroleum, petroleum products and related materials ;",15760,Exports
2024,"33 Petroleum, petroleum products and related materials ;",15733,Exports
2014,"34 Gas, natural and manufactured ;",18917,Exports
2015,"34 Gas, natural and manufactured ;",17054,Exports
2016,"34 Gas, natural and manufactured ;",18480,Exports
2017,"34 Gas, natural and manufactured ;",26355,Exports
2018,"34 Gas, natural and manufactured ;",44229,Exports
2019,"34 Gas, natural and manufactured ;",50124,Exports
2020,"34 Gas, natural and manufactured ;",37699,Exports
2021,"34 Gas, natural and manufactured ;",51179,Exports
2022,"34 Gas, natural and manufactured ;",91648,Exports
2023,"34 Gas, natural and manufactured ;",76456,Exports
2024,"34 Gas, natural and manufactured ;",69718,Exports
2014,"4 Animal and vegetable oils, fats and waxes ;",648,Exports
2015,"4 Animal and vegetable oils, fats and waxes ;",655,Exports
2016,"4 Animal and vegetable oils, fats and waxes ;",675,Exports
2017,"4 Animal and vegetable oils, fats and waxes ;",680,Exports
2018,"4 Animal and vegetable oils, fats and waxes ;",663,Exports
2019,"4 Animal and vegetable oils, fats and waxes ;",647,Exports
2020,"4 Animal and vegetable oils, fats and waxes ;",761,Exports
2021,"4 Animal and vegetable oils, fats and waxes ;",1085,Exports
2022,"4 Animal and vegetable oils, fats and waxes ;",1682,Exports
2023,"4 Animal and vegetable oils, fats and waxes ;",1609,Exports
2024,"4 Animal and vegetable oils, fats and waxes ;",1400,Exports
2014,41 Animal oils and fats ;,422,Exports
2015,41 Animal oils and fats ;,393,Exports
2016,41 Animal oils and fats ;,422,Exports
2017,41 Animal oils and fats ;,390,Exports
2018,41 Animal oils and fats ;,368,Exports
2019,41 Animal oils and fats ;,359,Exports
2020,41 Animal oils and fats ;,444,Exports
2021,41 Animal oils and fats ;,669,Exports
2022,41 Animal oils and fats ;,1080,Exports
2023,41 Animal oils and fats ;,1053,Exports
2024,41 Animal oils and fats ;,866,Exports
2014,"42 Fixed vegetable fats and oils, crude, refined or fractionated ;",209,Exports
2015,"42 Fixed vegetable fats and oils, crude, refined or fractionated ;",236,Exports
2016,"42 Fixed vegetable fats and oils, crude, refined or fractionated ;",217,Exports
2017,"42 Fixed vegetable fats and oils, crude, refined or fractionated ;",241,Exports
2018,"42 Fixed vegetable fats and oils, crude, refined or fractionated ;",240,Exports
2019,"42 Fixed vegetable fats and oils, crude, refined or fractionated ;",243,Exports
2020,"42 Fixed vegetable fats and oils, crude, refined or fractionated ;",282,Exports
2021,"42 Fixed vegetable fats and oils, crude, refined or fractionated ;",360,Exports
2022,"42 Fixed vegetable fats and oils, crude, refined or fractionated ;",538,Exports
2023,"42 Fixed vegetable fats and oils, crude, refined or fractionated ;",420,Exports
2024,"42 Fixed vegetable fats and oils, crude, refined or fractionated ;",417,Exports
2014,"43 Animal or vegetable fats and oils, processed; waxes of animal or vegetable origin; inedible mixtures or preparations of animal or vegetable fats or oils, nes ;",19,Exports
2015,"43 Animal or vegetable fats and oils, processed; waxes of animal or vegetable origin; inedible mixtures or preparations of animal or vegetable fats or oils, nes ;",25,Exports
2016,"43 Animal or vegetable fats and oils, processed; waxes of animal or vegetable origin; inedible mixtures or preparations of animal or vegetable fats or oils, nes ;",37,Exports
2017,"43 Animal or vegetable fats and oils, processed; waxes of animal or vegetable origin; inedible mixtures or preparations of animal or vegetable fats or oils, nes ;",49,Exports
2018,"43 Animal or vegetable fats and oils, processed; waxes of animal or vegetable origin; inedible mixtures or preparations of animal or vegetable fats or oils, nes ;",55,Exports
2019,"43 Animal or vegetable fats and oils, processed; waxes of animal or vegetable origin; inedible mixtures or preparations of animal or vegetable fats or oils, nes ;",47,Exports
2020,"43 Animal or vegetable fats and oils, processed; waxes of animal or vegetable origin; inedible mixtures or preparations of animal or vegetable fats or oils, nes ;",33,Exports
2021,"43 Animal or vegetable fats and oils, processed; waxes of animal or vegetable origin; inedible mixtures or preparations of animal or vegetable fats or oils, nes ;",54,Exports
2022,"43 Animal or vegetable fats and oils, processed; waxes of animal or vegetable origin; inedible mixtures or preparations of animal or vegetable fats or oils, nes ;",64,Exports
2023,"43 Animal or vegetable fats and oils, processed; waxes of animal or vegetable origin; inedible mixtures or preparations of animal or vegetable fats or oils, nes ;",136,Exports
2024,"43 Animal or vegetable fats and oils, processed; waxes of animal or vegetable origin; inedible mixtures or preparations of animal or vegetable fats or oils, nes ;",118,Exports
2014,"5 Chemicals and related products, nes ;",7342,Exports
2015,"5 Chemicals and related products, nes ;",7334,Exports
2016,"5 Chemicals and related products, nes ;",8367,Exports
2017,"5 Chemicals and related products, nes ;",8643,Exports
2018,"5 Chemicals and related products, nes ;",10510,Exports
2019,"5 Chemicals and related products, nes ;",11971,Exports
2020,"5 Chemicals and related products, nes ;",11092,Exports
2021,"5 Chemicals and related products, nes ;",10052,Exports
2022,"5 Chemicals and related products, nes ;",12575,Exports
2023,"5 Chemicals and related products, nes ;",11484,Exports
2024,"5 Chemicals and related products, nes ;",12289,Exports
2014,51 Organic chemicals ;,168,Exports
2015,51 Organic chemicals ;,207,Exports
2016,51 Organic chemicals ;,227,Exports
2017,51 Organic chemicals ;,199,Exports
2018,51 Organic chemicals ;,201,Exports
2019,51 Organic chemicals ;,212,Exports
2020,51 Organic chemicals ;,227,Exports
2021,51 Organic chemicals ;,239,Exports
2022,51 Organic chemicals ;,245,Exports
2023,51 Organic chemicals ;,221,Exports
2024,51 Organic chemicals ;,215,Exports
2014,52 Inorganic chemicals ;,800,Exports
2015,52 Inorganic chemicals ;,832,Exports
2016,52 Inorganic chemicals ;,657,Exports
2017,52 Inorganic chemicals ;,702,Exports
2018,52 Inorganic chemicals ;,937,Exports
2019,52 Inorganic chemicals ;,754,Exports
2020,52 Inorganic chemicals ;,641,Exports
2021,52 Inorganic chemicals ;,808,Exports
2022,52 Inorganic chemicals ;,1675,Exports
2023,52 Inorganic chemicals ;,1264,Exports
2024,52 Inorganic chemicals ;,948,Exports
2014,"53 Dyeing, tanning and colouring materials ;",779,Exports
2015,"53 Dyeing, tanning and colouring materials ;",845,Exports
2016,"53 Dyeing, tanning and colouring materials ;",847,Exports
2017,"53 Dyeing, tanning and colouring materials ;",959,Exports
2018,"53 Dyeing, tanning and colouring materials ;",1029,Exports
2019,"53 Dyeing, tanning and colouring materials ;",1008,Exports
2020,"53 Dyeing, tanning and colouring materials ;",894,Exports
2021,"53 Dyeing, tanning and colouring materials ;",1036,Exports
2022,"53 Dyeing, tanning and colouring materials ;",1068,Exports
2023,"53 Dyeing, tanning and colouring materials ;",920,Exports
2024,"53 Dyeing, tanning and colouring materials ;",1163,Exports
2014,54 Medicinal and pharmaceutical products ;,2923,Exports
2015,54 Medicinal and pharmaceutical products ;,2473,Exports
2016,54 Medicinal and pharmaceutical products ;,3486,Exports
2017,54 Medicinal and pharmaceutical products ;,3478,Exports
2018,54 Medicinal and pharmaceutical products ;,4750,Exports
2019,54 Medicinal and pharmaceutical products ;,6249,Exports
2020,54 Medicinal and pharmaceutical products ;,5547,Exports
2021,54 Medicinal and pharmaceutical products ;,3630,Exports
2022,54 Medicinal and pharmaceutical products ;,4328,Exports
2023,54 Medicinal and pharmaceutical products ;,4754,Exports
2024,54 Medicinal and pharmaceutical products ;,5388,Exports
2014,"55 Essential oils and resinoids and perfume materials; toilet, polishing and cleansing preparations ;",719,Exports
2015,"55 Essential oils and resinoids and perfume materials; toilet, polishing and cleansing preparations ;",823,Exports
2016,"55 Essential oils and resinoids and perfume materials; toilet, polishing and cleansing preparations ;",985,Exports
